			Deformation (\beta_2)	     Bingding energy (E)	Per nucleon energy (E/A)	S_{2n}			Delta S_{2N}		Correlation energy E_{Cor}^{Dyn}	
N	Z	A	RMF	PNP	GCM	E_min(RMF)	E_min(PNP)	E_g.s(GCM)	RMF	PNP	GCM	RMF	PNP	GCM	RMF	PNP	GCM	PNP	GCM
122	68	190	-0.100	-0.075	0.004	-1473.132	-1475.107	-1478.385	7.753	7.764	7.781							-1.975	-5.253
124	68	192	-0.025	0.000	0.010	-1482.303	-1484.589	-1487.005	7.720	7.732	7.745	9.171	9.482	8.620	0.292	-0.472	-0.117	-2.286	-4.702
126	68	194	0.000	0.000	0.008	-1491.766	-1493.600	-1495.508	7.690	7.699	7.709	9.463	9.010	8.503	-6.910	-5.951	-4.699	-1.833	-3.742
128	68	196	0.025	0.025	0.011	-1494.319	-1496.659	-1499.311	7.624	7.636	7.650	2.553	3.060	3.804	1.258	0.820	0.151	-2.340	-4.992
130	68	198	0.125	0.100	0.050	-1498.130	-1500.538	-1503.266	7.566	7.578	7.592	3.811	3.879	3.955	0.885	0.612	0.402	-2.408	-5.136
132	68	200	0.175	0.175	0.157	-1502.826	-1505.029	-1507.624	7.514	7.525	7.538	4.696	4.491	4.357	0.160	0.270	0.109	-2.203	-4.798
134	68	202	0.200	0.200	0.198	-1507.682	-1509.790	-1512.090	7.464	7.474	7.486	4.856	4.761	4.466	-0.695	-0.593	-0.249	-2.108	-4.408
136	68	204	0.225	0.225	0.223	-1511.843	-1513.958	-1516.307	7.411	7.421	7.433	4.161	4.168	4.217	-0.501	-0.500	-0.139	-2.115	-4.464
138	68	206	0.225	0.225	0.252	-1515.503	-1517.625	-1520.386	7.357	7.367	7.381	3.660	3.667	4.079				-2.122	-4.883
122	70	192	-0.100	-0.075	0.002	-1496.829	-1498.749	-1502.002	7.796	7.806	7.823							-1.920	-5.173
124	70	194	-0.025	0.000	0.008	-1506.520	-1508.818	-1511.295	7.766	7.777	7.790	9.691	10.068	9.293	0.618	-0.227	-0.017	-2.298	-4.775
126	70	196	0.000	0.000	0.006	-1516.829	-1518.659	-1520.571	7.739	7.748	7.758	10.309	9.842	9.276	-7.109	-6.111	-4.752	-1.830	-3.742
128	70	198	0.025	0.025	0.009	-1520.029	-1522.390	-1525.096	7.677	7.689	7.703	3.200	3.730	4.524	1.310	0.840	0.070	-2.361	-5.067
130	70	200	0.125	0.100	0.042	-1524.539	-1526.960	-1529.690	7.623	7.635	7.648	4.510	4.570	4.594	0.535	0.280	0.319	-2.421	-5.151
132	70	202	0.175	0.150	0.143	-1529.584	-1531.809	-1534.603	7.572	7.583	7.597	5.045	4.850	4.913	0.592	0.716	0.223	-2.225	-5.019
134	70	204	0.200	0.200	0.193	-1535.221	-1537.375	-1539.740	7.526	7.536	7.548	5.637	5.566	5.137	-0.663	-0.614	-0.225	-2.154	-4.519
136	70	206	0.200	0.200	0.217	-1540.195	-1542.327	-1544.651	7.477	7.487	7.498	4.974	4.952	4.911	-0.512	-0.526	-0.153	-2.132	-4.456
138	70	208	0.225	0.225	0.249	-1544.657	-1546.752	-1549.410	7.426	7.436	7.449	4.462	4.425	4.758				-2.095	-4.753
122	72	194	-0.100	-0.075	-0.008	-1519.047	-1520.839	-1524.132	7.830	7.839	7.856							-1.792	-5.084
124	72	196	-0.050	0.000	0.007	-1529.417	-1531.617	-1534.092	7.803	7.814	7.827	10.370	10.779	9.960	0.759	-0.127	0.131	-2.200	-4.675
126	72	198	0.000	0.000	0.004	-1540.546	-1542.268	-1544.183	7.781	7.789	7.799	11.129	10.651	10.091	-7.250	-6.225	-4.868	-1.722	-3.637
128	72	200	0.025	0.025	0.006	-1544.425	-1546.694	-1549.407	7.722	7.733	7.747	3.879	4.426	5.224	1.220	0.756	0.001	-2.269	-4.982
130	72	202	0.100	0.125	0.029	-1549.524	-1551.876	-1554.631	7.671	7.683	7.696	5.099	5.182	5.224	0.023	-0.046	0.151	-2.352	-5.107
132	72	204	0.125	0.150	0.109	-1554.646	-1557.012	-1560.006	7.621	7.632	7.647	5.122	5.136	5.375	1.298	1.070	0.330	-2.366	-5.360
134	72	206	0.175	0.175	0.177	-1561.066	-1563.217	-1565.711	7.578	7.588	7.601	6.420	6.206	5.705	-0.621	-0.456	-0.154	-2.151	-4.645
136	72	208	0.200	0.200	0.203	-1566.865	-1568.967	-1571.262	7.533	7.543	7.554	5.799	5.750	5.551	-0.520	-0.562	-0.211	-2.102	-4.397
138	72	210	0.225	0.225	0.234	-1572.144	-1574.155	-1576.603	7.486	7.496	7.508	5.279	5.188	5.341				-2.011	-4.459
122	74	196	-0.100	-0.075	-0.006	-1539.752	-1541.333	-1544.786	7.856	7.864	7.882							-1.581	-5.034
124	74	198	-0.050	0.000	0.008	-1551.000	-1553.001	-1555.383	7.833	7.843	7.855	11.248	11.668	10.596	0.671	-0.237	0.342	-2.001	-4.382
126	74	200	0.000	0.000	0.002	-1562.919	-1564.432	-1566.321	7.815	7.822	7.832	11.919	11.430	10.939	-7.321	-6.278	-4.993	-1.512	-3.402
128	74	202	0.025	0.025	0.004	-1567.517	-1569.584	-1572.267	7.760	7.770	7.783	4.598	5.152	5.946	0.959	0.565	-0.049	-2.067	-4.750
130	74	204	0.100	0.100	0.023	-1573.074	-1575.301	-1578.164	7.711	7.722	7.736	5.557	5.717	5.897	0.251	0.193	-0.020	-2.226	-5.090
132	74	206	0.125	0.125	0.072	-1578.882	-1581.210	-1584.041	7.664	7.676	7.690	5.808	5.910	5.877	0.368	0.131	0.199	-2.328	-5.159
